2OG	C00026
2PG	C00631
3PGA	C00197
6PG	C00345
AcCoA	C00024
ADP	C00008
AMP	C00020
ATP	C00002
cAMP	C00575
Cit	C00158
FBP	C00354
G6P	C00092
GAP	C00118
Glyc	C00160
Glyx	C00048
GTP	C00044
KDPG	C04442
Mal	C00149
NADP	C00006
NADPH	C00005
PEP	C00074
Phe	C00079
Ru5P	C00199
RuBP	C01182
Suc	C00042
