KEGGgene	Module	Organism
reh:H16_B1931	md:reh_M00010	Cupriavidus
reh:H16_B1016	md:reh_M00010	Cupriavidus
reh:H16_A2325	md:reh_M00011	Cupriavidus
reh:H16_A2324	md:reh_M00011	Cupriavidus
reh:H16_A1377	md:reh_M00011	Cupriavidus
reh:H16_A2323	md:reh_M00011	Cupriavidus
reh:H16_B1098	md:reh_M00011	Cupriavidus
reh:H16_A0548	md:reh_M00011	Cupriavidus
reh:H16_A0547	md:reh_M00011	Cupriavidus
reh:H16_A1358	md:reh_M00011	Cupriavidus
reh:H16_A2630	md:reh_M00011	Cupriavidus
reh:H16_A2629	md:reh_M00011	Cupriavidus
reh:H16_A2632	md:reh_M00011	Cupriavidus
reh:H16_A2631	md:reh_M00011	Cupriavidus
reh:H16_A2528	md:reh_M00011	Cupriavidus
reh:H16_B0103	md:reh_M00011	Cupriavidus
reh:H16_A2634	md:reh_M00011	Cupriavidus
reh:H16_A1229	md:reh_M00012	Cupriavidus
reh:H16_A2627	md:reh_M00012	Cupriavidus
reh:H16_B0414	md:reh_M00012	Cupriavidus
reh:H16_B2211	md:reh_M00012	Cupriavidus
reh:H16_B0357	md:reh_M00012	Cupriavidus
reh:H16_A2638	md:reh_M00012	Cupriavidus
reh:H16_B0568	md:reh_M00012	Cupriavidus
reh:H16_A2211	md:reh_M00012	Cupriavidus
reh:H16_A2227	md:reh_M00012	Cupriavidus
reh:H16_A2217	md:reh_M00012	Cupriavidus
reh:H16_A2634	md:reh_M00012	Cupriavidus
reh:H16_B0752	md:reh_M00013	Cupriavidus
reh:H16_B0850	md:reh_M00013	Cupriavidus
reh:H16_A0172	md:reh_M00013	Cupriavidus
reh:H16_A0273	md:reh_M00013	Cupriavidus
reh:H16_B1191	md:reh_M00013	Cupriavidus
reh:H16_A3664	md:reh_M00013	Cupriavidus
reh:H16_A0802	md:reh_M00014	Cupriavidus
reh:H16_A3249	md:reh_M00015	Cupriavidus
reh:H16_A3136	md:reh_M00015	Cupriavidus
reh:H16_A3106	md:reh_M00015	Cupriavidus
reh:H16_A1225	md:reh_M00016	Cupriavidus
reh:H16_A2618	md:reh_M00016	Cupriavidus
reh:H16_A1204	md:reh_M00016	Cupriavidus
reh:H16_B0891	md:reh_M00016	Cupriavidus
reh:H16_B1831	md:reh_M00016	Cupriavidus
