KEGGgene	EC	Organism
reh:H16_B1051	ec:1.3.3.11	Cupriavidus
reh:H16_B1211	ec:4.3.1.18	Cupriavidus
reh:H16_B1223	ec:4.1.99.12	Cupriavidus
reh:H16_B1282	ec:3.6.1.63	Cupriavidus
reh:H16_B1283	ec:2.7.8.37	Cupriavidus
reh:H16_B1285	ec:4.7.1.1	Cupriavidus
reh:H16_B1286	ec:2.7.8.37	Cupriavidus
reh:H16_B2389	ec:2.7.7.7	Cupriavidus
reh:H16_A3386	ec:3.5.1.4	Cupriavidus
reh:H16_A3398	ec:7.1.1.8	Cupriavidus
reh:H16_A3578	ec:5.3.1.28	Cupriavidus
reh:H16_A3580	ec:2.1.1.198	Cupriavidus
reh:H16_B0023	ec:3.1.3.48	Cupriavidus
reh:H16_A0150	ec:2.1.1.13	Cupriavidus
reh:H16_B1377	ec:1.3.99.16	Cupriavidus
reh:H16_B2500	ec:1.8.1.2	Cupriavidus
reh:H16_B1887	ec:6.6.1.2	Cupriavidus
reh:H16_A0904	ec:7.5.2.6	Cupriavidus
reh:H16_A3175	ec:1.11.1.24	Cupriavidus
reh:H16_B1347	ec:4.2.1.130	Cupriavidus
reh:H16_B1347	ec:3.5.1.124	Cupriavidus
reh:H16_A2910	ec:3.6.1.41	Cupriavidus
reh:H16_A1974	ec:6.4.1.4	Cupriavidus
reh:H16_A2044	ec:4.2.1.59	Cupriavidus
reh:H16_A2045	ec:2.3.1.191	Cupriavidus
reh:H16_A2059	ec:3.5.1.88	Cupriavidus
reh:H16_A2168	ec:2.7.13.3	Cupriavidus
reh:H16_A2215	ec:3.1.1.45	Cupriavidus
reh:H16_A3042	ec:2.1.2.2	Cupriavidus
reh:H16_B1888	ec:6.6.1.2	Cupriavidus
reh:H16_A2445	ec:5.4.2.10	Cupriavidus
reh:H16_A2458	ec:1.3.8.7	Cupriavidus
reh:H16_A2474	ec:1.5.1.40	Cupriavidus
reh:H16_A2528	ec:4.2.1.2	Cupriavidus
reh:H16_A2577	ec:3.1.3.18	Cupriavidus
reh:H16_A2580	ec:3.1.26.12	Cupriavidus
reh:H16_B1014	ec:3.1.1.75	Cupriavidus
reh:H16_A1102	ec:1.1.1.157	Cupriavidus
reh:H16_A0326	ec:2.7.3.9	Cupriavidus
reh:H16_A3202	ec:2.8.3.16	Cupriavidus
reh:H16_A3589	ec:3.5.1.6	Cupriavidus
reh:H16_A3589	ec:3.5.1.87	Cupriavidus
reh:H16_B1177	ec:7.1.1.7	Cupriavidus
reh:H16_A0615	ec:4.1.2.52	Cupriavidus
reh:H16_B0062	ec:1.1.1.69	Cupriavidus
reh:H16_B0068	ec:1.5.1.40	Cupriavidus
reh:H16_B0166	ec:1.14.11.18	Cupriavidus
reh:H16_B0243	ec:3.1.1.61	Cupriavidus
reh:H16_B0243	ec:3.5.1.44	Cupriavidus
reh:H16_B2000	ec:4.1.2.17	Cupriavidus
reh:H16_B2027	ec:2.4.1.129	Cupriavidus
reh:H16_B2027	ec:3.4.16.4	Cupriavidus
reh:H16_A1434	ec:5.4.99.23	Cupriavidus
reh:H16_A1469	ec:3.5.1.4	Cupriavidus
reh:H16_A3031	ec:1.17.7.4	Cupriavidus
reh:H16_A1127	ec:2.7.7.42	Cupriavidus
reh:H16_A1127	ec:2.7.7.89	Cupriavidus
reh:H16_A1185	ec:6.3.4.2	Cupriavidus
reh:H16_A1815	ec:7.1.1.2	Cupriavidus
reh:H16_A1917	ec:6.3.5.2	Cupriavidus
reh:H16_A1935	ec:4.2.1.8	Cupriavidus
reh:H16_A2050	ec:2.7.7.41	Cupriavidus
reh:H16_A2070	ec:2.1.1.298	Cupriavidus
reh:H16_A2093	ec:2.7.8.5	Cupriavidus
reh:H16_A2707	ec:2.7.7.75	Cupriavidus
reh:H16_A2713	ec:6.3.1.10	Cupriavidus
reh:H16_A1309	ec:1.6.5.2	Cupriavidus
reh:H16_A1432	ec:3.6.4.12	Cupriavidus
reh:H16_A1457	ec:4.6.1.12	Cupriavidus
reh:H16_A1459	ec:1.11.1.28	Cupriavidus
reh:H16_A1480	ec:2.1.1.266	Cupriavidus
reh:H16_A0911	ec:2.1.1.177	Cupriavidus
reh:H16_A0931	ec:1.1.1.100	Cupriavidus
reh:H16_A3057	ec:5.4.99.20	Cupriavidus
reh:H16_A1765	ec:7.1.1.2	Cupriavidus
reh:H16_B0615	ec:4.1.3.4	Cupriavidus
reh:H16_B0616	ec:2.8.3.16	Cupriavidus
reh:H16_A2213	ec:1.11.1.10	Cupriavidus
reh:H16_A2218	ec:3.8.1.2	Cupriavidus
reh:H16_A2342	ec:3.6.4.13	Cupriavidus
reh:H16_A2348	ec:2.1.1.185	Cupriavidus
reh:H16_A2552	ec:2.6.99.2	Cupriavidus
reh:H16_A2574	ec:2.1.1.198	Cupriavidus
reh:H16_A2581	ec:4.1.99.22	Cupriavidus
reh:H16_A2582	ec:2.7.7.77	Cupriavidus
reh:H16_A2583	ec:2.10.1.1	Cupriavidus
reh:H16_A3164	ec:1.1.1.100	Cupriavidus
reh:H16_A3238	ec:2.7.13.3	Cupriavidus
reh:H16_A3264	ec:7.4.2.8	Cupriavidus
reh:H16_A3281	ec:2.1.1.199	Cupriavidus
reh:H16_A3345	ec:1.2.1.3	Cupriavidus
reh:H16_A2057	ec:2.7.7.59	Cupriavidus
reh:H16_A0845	ec:1.4.3.4	Cupriavidus
reh:H16_A0849	ec:1.1.1.100	Cupriavidus
reh:H16_A0520	ec:3.1.3.82	Cupriavidus
reh:H16_A0520	ec:3.1.3.83	Cupriavidus
reh:H16_B1971	ec:2.7.13.3	Cupriavidus
reh:H16_B1625	ec:2.7.13.3	Cupriavidus
reh:H16_B1452	ec:1.17.1.9	Cupriavidus
reh:H16_B0744	ec:1.2.5.3	Cupriavidus
reh:H16_B0745	ec:1.2.5.3	Cupriavidus
reh:H16_A2629	ec:1.3.5.1	Cupriavidus
reh:H16_A2629	ec:1.3.5.4	Cupriavidus
reh:H16_A2635	ec:4.1.3.34	Cupriavidus
reh:H16_A2710	ec:3.4.24.84	Cupriavidus
reh:H16_A2711	ec:3.1.3.100	Cupriavidus
reh:H16_A2735	ec:1.14.15.7	Cupriavidus
reh:H16_A2739	ec:3.1.1.45	Cupriavidus
reh:H16_A2770	ec:2.8.3.16	Cupriavidus
reh:H16_A1764	ec:7.1.1.2	Cupriavidus
reh:H16_A2570	ec:2.3.1.274	Cupriavidus
reh:H16_A1724	ec:1.2.5.3	Cupriavidus
reh:H16_A1753	ec:1.2.4.1	Cupriavidus
reh:H16_A1150	ec:3.1.1.75	Cupriavidus
reh:H16_B1073	ec:1.6.5.5	Cupriavidus
reh:H16_B1085	ec:2.7.13.3	Cupriavidus
reh:H16_A3176	ec:2.7.1.20	Cupriavidus
reh:H16_A1046	ec:1.6.5.5	Cupriavidus
reh:H16_A2826	ec:6.3.4.20	Cupriavidus
reh:H16_A3441	ec:2.4.1.129	Cupriavidus
reh:H16_A3441	ec:3.4.16.4	Cupriavidus
reh:H16_A3697	ec:2.1.1.176	Cupriavidus
reh:H16_A3700	ec:3.5.1.88	Cupriavidus
reh:H16_A3152	ec:4.6.1.24	Cupriavidus
reh:H16_A2177	ec:1.20.4.4	Cupriavidus
reh:H16_A3724	ec:1.8.1.7	Cupriavidus
reh:PHG417	ec:2.7.2.3	Cupriavidus
reh:H16_B1213	ec:4.1.2.14	Cupriavidus
reh:H16_B1213	ec:4.1.3.42	Cupriavidus
reh:PHG254	ec:2.7.1.180	Cupriavidus
reh:H16_A0861	ec:1.1.1.1	Cupriavidus
reh:H16_A0168	ec:2.7.11.5	Cupriavidus
reh:H16_B0466	ec:1.1.1.79	Cupriavidus
reh:H16_B0466	ec:1.1.1.81	Cupriavidus
reh:PHG200	ec:1.14.12.17	Cupriavidus
reh:H16_B2440	ec:3.5.2.9	Cupriavidus
reh:PHG214	ec:7.6.2.5	Cupriavidus
reh:H16_A0262	ec:2.7.7.23	Cupriavidus
reh:H16_A0262	ec:2.3.1.157	Cupriavidus
reh:PHG121	ec:4.1.1.20	Cupriavidus
reh:H16_A0501	ec:2.1.2.3	Cupriavidus
reh:H16_A0501	ec:3.5.4.10	Cupriavidus
reh:H16_A2347	ec:2.3.1.286	Cupriavidus
reh:H16_B1897	ec:1.17.1.4	Cupriavidus
reh:PHG258	ec:1.13.12.16	Cupriavidus
reh:PHG421	ec:2.7.1.19	Cupriavidus
reh:H16_A2102	ec:3.5.1.1	Cupriavidus
reh:H16_A2102	ec:3.4.19.5	Cupriavidus
reh:PHG252	ec:1.7.2.4	Cupriavidus
reh:H16_A2854	ec:4.1.99.12	Cupriavidus
reh:H16_A2854	ec:3.5.4.25	Cupriavidus
reh:H16_A0184	ec:6.4.1.4	Cupriavidus
reh:H16_A2985	ec:2.5.1.145	Cupriavidus
reh:H16_A1655	ec:1.1.3.6	Cupriavidus
reh:H16_A2610	ec:6.3.2.12	Cupriavidus
reh:H16_A2610	ec:6.3.2.17	Cupriavidus
reh:H16_A0135	ec:6.3.4.15	Cupriavidus
reh:H16_A3045	ec:2.7.1.26	Cupriavidus
reh:H16_A3045	ec:2.7.7.2	Cupriavidus
reh:PHG418	ec:1.2.1.12	Cupriavidus
reh:H16_B1515	ec:2.8.1.7	Cupriavidus
reh:H16_B1515	ec:4.4.1.16	Cupriavidus
reh:H16_A2994	ec:2.1.1.107	Cupriavidus
reh:H16_A3337	ec:3.2.2.9	Cupriavidus
reh:H16_B2285	ec:2.1.1.107	Cupriavidus
reh:H16_A1460	ec:1.11.1.28	Cupriavidus
reh:H16_B1757	ec:6.4.1.2	Cupriavidus
reh:H16_B1757	ec:6.4.1.3	Cupriavidus
reh:H16_B1757	ec:6.3.4.14	Cupriavidus
reh:H16_A1592	ec:1.5.99.6	Cupriavidus
reh:H16_B1953	ec:2.6.1.37	Cupriavidus
reh:H16_A2848	ec:3.5.4.26	Cupriavidus
reh:H16_A2848	ec:1.1.1.193	Cupriavidus
reh:PHG244	ec:1.7.2.5	Cupriavidus
reh:H16_A1370	ec:1.5.1.5	Cupriavidus
reh:H16_A1370	ec:3.5.4.9	Cupriavidus
reh:H16_A0044	ec:3.5.3.8	Cupriavidus
reh:H16_A0185	ec:1.1.1.79	Cupriavidus
reh:H16_A0185	ec:1.1.1.81	Cupriavidus
reh:H16_B1899	ec:2.3.1.1	Cupriavidus
reh:H16_A0477	ec:1.1.1.93	Cupriavidus
reh:H16_A0477	ec:4.1.1.73	Cupriavidus
reh:H16_A0477	ec:1.1.1.83	Cupriavidus
reh:H16_A2919	ec:2.1.1.107	Cupriavidus
reh:H16_A2919	ec:4.2.1.75	Cupriavidus
reh:H16_B1644	ec:7.2.2.12	Cupriavidus
reh:H16_B1644	ec:7.2.2.21	Cupriavidus
reh:H16_A1016	ec:1.17.1.4	Cupriavidus
reh:H16_A3172	ec:6.4.1.2	Cupriavidus
reh:H16_A3172	ec:6.3.4.14	Cupriavidus
reh:H16_A0807	ec:2.5.1.144	Cupriavidus
reh:H16_B0602	ec:5.3.3.1	Cupriavidus
reh:H16_A3074	ec:6.3.5.6	Cupriavidus
reh:H16_A3074	ec:6.3.5.7	Cupriavidus
reh:H16_A2349	ec:3.1.13.1	Cupriavidus
reh:H16_A3048	ec:4.1.1.36	Cupriavidus
reh:H16_A3048	ec:6.3.2.5	Cupriavidus
reh:H16_B2551	ec:3.2.2.21	Cupriavidus
reh:H16_A2814	ec:3.5.1.9	Cupriavidus
reh:H16_B2307	ec:3.5.1.4	Cupriavidus
reh:H16_B2235	ec:2.3.1.168	Cupriavidus
reh:H16_A0269	ec:2.3.1.1	Cupriavidus
reh:PHG001	ec:1.12.99.6	Cupriavidus
reh:H16_A3631	ec:1.5.5.2	Cupriavidus
reh:H16_A3631	ec:1.2.1.88	Cupriavidus
reh:H16_A3087	ec:2.6.1.85	Cupriavidus
reh:H16_A3087	ec:4.1.3.38	Cupriavidus
reh:H16_A1526	ec:1.1.1.35	Cupriavidus
reh:H16_B0724	ec:1.1.1.35	Cupriavidus
reh:H16_B2093	ec:2.7.13.3	Cupriavidus
reh:H16_A0426	ec:1.7.1.13	Cupriavidus
reh:H16_A1408	ec:1.14.13.208	Cupriavidus
reh:H16_A2747	ec:1.2.1.81	Cupriavidus
reh:H16_A3621	ec:1.4.4.2	Cupriavidus
reh:H16_A3263	ec:2.3.1.35	Cupriavidus
reh:H16_A3263	ec:2.3.1.1	Cupriavidus
reh:H16_B0033	ec:1.1.1.335	Cupriavidus
reh:H16_B0031	ec:2.6.1.98	Cupriavidus
reh:H16_B0032	ec:2.3.1.201	Cupriavidus
reh:H16_B1640	ec:2.4.2.53	Cupriavidus
reh:H16_B1834	ec:1.1.1.100	Cupriavidus
reh:H16_B1047	ec:1.1.2.8	Cupriavidus
reh:H16_B0626	ec:2.7.7.4	Cupriavidus
reh:H16_B0626	ec:2.7.1.25	Cupriavidus
reh:H16_B2459	ec:3.5.1.49	Cupriavidus
reh:H16_A2144	ec:6.4.1.5	Cupriavidus
reh:H16_B1058	ec:2.7.11.1	Cupriavidus
reh:PHG414	ec:7.1.1.2	Cupriavidus
reh:H16_B1093	ec:2.1.1.63	Cupriavidus
reh:H16_A1017	ec:1.17.1.4	Cupriavidus
reh:PHG274	ec:5.2.1.8	Cupriavidus
reh:H16_A2073	ec:2.7.11.1	Cupriavidus
reh:H16_A1251	ec:6.4.1.1	Cupriavidus
reh:H16_A0461	ec:1.1.1.35	Cupriavidus
reh:H16_A0394	ec:3.5.1.124	Cupriavidus
reh:H16_A1896	ec:4.1.2.17	Cupriavidus
reh:H16_A2086	ec:6.3.5.6	Cupriavidus
reh:H16_A2086	ec:6.3.5.7	Cupriavidus
reh:H16_A2430	ec:2.7.7.7	Cupriavidus
reh:H16_A3253	ec:2.5.1.90	Cupriavidus
reh:H16_B0994	ec:3.5.2.17	Cupriavidus
reh:H16_B1241	ec:2.3.1.118	Cupriavidus
reh:H16_B2014	ec:3.5.1.6	Cupriavidus
reh:H16_B2014	ec:3.5.1.87	Cupriavidus
reh:H16_B2126	ec:6.3.5.6	Cupriavidus
reh:H16_B2126	ec:6.3.5.7	Cupriavidus
reh:PHG064	ec:1.12.99.6	Cupriavidus
reh:PHG065	ec:1.12.99.6	Cupriavidus
reh:PHG074	ec:5.3.1.28	Cupriavidus
reh:H16_B2470	ec:1.1.1.284	Cupriavidus
reh:H16_B2470	ec:1.1.1.1	Cupriavidus
reh:H16_A1258	ec:4.2.1.7	Cupriavidus
reh:H16_B1433	ec:1.1.1.1	Cupriavidus
reh:H16_A2777	ec:1.11.1.21	Cupriavidus
reh:H16_B0968	ec:1.13.11.37	Cupriavidus
reh:H16_A0633	ec:1.13.11.1	Cupriavidus
reh:H16_B1427	ec:1.11.1.10	Cupriavidus
reh:H16_A0794	ec:1.3.1.12	Cupriavidus
reh:H16_B0383	ec:1.3.1.62	Cupriavidus
reh:H16_B1062	ec:2.7.7.7	Cupriavidus
reh:H16_B1194	ec:3.1.2.12	Cupriavidus
reh:H16_A0282	ec:1.1.1.157	Cupriavidus
reh:H16_A1527	ec:3.5.1.19	Cupriavidus
reh:PHG002	ec:1.12.99.6	Cupriavidus
reh:H16_B1812	ec:2.7.1.45	Cupriavidus
reh:H16_A2138	ec:4.2.1.57	Cupriavidus
reh:H16_B0942	ec:1.1.1.237	Cupriavidus
reh:H16_A2634	ec:1.1.1.37	Cupriavidus
reh:PHG211	ec:1.9.6.1	Cupriavidus
reh:H16_A1230	ec:6.2.1.48	Cupriavidus
reh:PHG265	ec:2.7.13.3	Cupriavidus
reh:PHG271	ec:1.7.5.1	Cupriavidus
reh:PHG273	ec:1.7.5.1	Cupriavidus
reh:PHG384	ec:5.3.3.4	Cupriavidus
reh:PHG387	ec:2.8.3.6	Cupriavidus
reh:PHG388	ec:2.8.3.6	Cupriavidus
reh:PHG404	ec:5.3.3.4	Cupriavidus
reh:PHG423	ec:5.1.3.1	Cupriavidus
reh:H16_B2049	ec:3.1.1.61	Cupriavidus
reh:H16_A0179	ec:4.2.1.18	Cupriavidus
reh:H16_A0462	ec:2.3.1.16	Cupriavidus
reh:H16_B1009	ec:1.14.14.1	Cupriavidus
reh:H16_B1009	ec:1.6.2.4	Cupriavidus
reh:H16_A2267	ec:2.6.1.66	Cupriavidus
reh:H16_A2267	ec:2.6.1.2	Cupriavidus
reh:PHG405	ec:5.5.1.1	Cupriavidus
reh:H16_A1683	ec:2.3.1.1	Cupriavidus
reh:H16_B0354	ec:4.2.1.148	Cupriavidus
reh:H16_A0243	ec:2.7.1.49	Cupriavidus
reh:H16_A0243	ec:2.7.4.7	Cupriavidus
reh:H16_A2065	ec:2.6.1.17	Cupriavidus
reh:H16_A0792	ec:5.4.99.5	Cupriavidus
reh:H16_A0792	ec:4.2.1.51	Cupriavidus
reh:H16_A1444	ec:2.8.4.4	Cupriavidus
reh:H16_B1170	ec:2.6.1.44	Cupriavidus
reh:H16_B1170	ec:2.6.1.45	Cupriavidus
reh:H16_B1170	ec:2.6.1.51	Cupriavidus
reh:H16_A3086	ec:7.3.2.6	Cupriavidus
reh:H16_A2436	ec:3.6.1.11	Cupriavidus
reh:H16_A2436	ec:3.6.1.40	Cupriavidus
reh:H16_B0597	ec:4.2.1.80	Cupriavidus
reh:H16_B0597	ec:4.2.1.132	Cupriavidus
reh:H16_A1104	ec:2.6.1.88	Cupriavidus
reh:H16_A2737	ec:2.8.1.1	Cupriavidus
reh:H16_A2737	ec:2.8.1.2	Cupriavidus
reh:H16_A2885	ec:5.4.2.8	Cupriavidus
reh:H16_A2885	ec:5.4.2.2	Cupriavidus
reh:H16_A1465	ec:3.5.3.9	Cupriavidus
reh:H16_A0922	ec:1.14.13.114	Cupriavidus
reh:H16_B2288	ec:3.1.1.24	Cupriavidus
reh:H16_B2288	ec:4.1.1.44	Cupriavidus
reh:H16_B1832	ec:1.1.99.31	Cupriavidus
reh:H16_B2069	ec:3.5.1.6	Cupriavidus
reh:H16_B2069	ec:3.5.1.87	Cupriavidus
reh:H16_B2457	ec:3.5.3.26	Cupriavidus
reh:H16_B0632	ec:4.1.99.12	Cupriavidus
reh:H16_B0632	ec:3.5.4.25	Cupriavidus
reh:H16_B0875	ec:5.2.1.2	Cupriavidus
reh:H16_A1973	ec:6.4.1.4	Cupriavidus
reh:H16_A0203	ec:2.7.13.3	Cupriavidus
reh:H16_B1913	ec:1.14.13.208	Cupriavidus
reh:H16_A1410	ec:4.1.2.44	Cupriavidus
reh:H16_A1694	ec:1.1.1.308	Cupriavidus
reh:H16_B1917	ec:1.2.1.77	Cupriavidus
reh:H16_A0924	ec:3.5.1.106	Cupriavidus
reh:H16_B0941	ec:1.1.1.60	Cupriavidus
reh:H16_A0177	ec:6.4.1.4	Cupriavidus
reh:H16_A1703	ec:1.3.99.8	Cupriavidus
reh:H16_A1702	ec:1.3.99.8	Cupriavidus
reh:H16_A0493	ec:5.4.2.11	Cupriavidus
reh:H16_B0889	ec:7.6.2.7	Cupriavidus
reh:H16_A2242	ec:7.6.2.14	Cupriavidus
reh:H16_A0948	ec:3.6.1.66	Cupriavidus
reh:H16_A1356	ec:1.4.1.2	Cupriavidus
reh:H16_B0657	ec:4.2.1.17	Cupriavidus
reh:H16_A0142	ec:4.2.1.17	Cupriavidus
reh:H16_B0812	ec:3.5.1.106	Cupriavidus
reh:H16_A1475	ec:3.5.1.6	Cupriavidus
reh:H16_A1475	ec:3.5.1.87	Cupriavidus
reh:H16_A1889	ec:4.2.1.17	Cupriavidus
reh:H16_B0659	ec:4.2.1.17	Cupriavidus
reh:H16_A1481	ec:2.1.1.61	Cupriavidus
reh:H16_A0357	ec:7.3.2.4	Cupriavidus
reh:H16_A1854	ec:2.7.7.13	Cupriavidus
reh:H16_A1854	ec:5.3.1.8	Cupriavidus
reh:H16_A3311	ec:5.3.3.18	Cupriavidus
reh:H16_A3593	ec:5.3.3.18	Cupriavidus
reh:H16_B0672	ec:1.14.15.30	Cupriavidus
reh:H16_B0643	ec:1.14.15.30	Cupriavidus
reh:H16_A1504	ec:4.2.1.136	Cupriavidus
reh:H16_A1504	ec:5.1.99.6	Cupriavidus
reh:H16_B0600	ec:3.7.1.17	Cupriavidus
reh:PHG399	ec:6.2.1.3	Cupriavidus
reh:H16_B1557	ec:2.4.99.16	Cupriavidus
reh:H16_B0654	ec:1.13.11.25	Cupriavidus
reh:H16_B0639	ec:1.3.99.4	Cupriavidus
reh:H16_B0638	ec:1.14.14.12	Cupriavidus
reh:H16_B0641	ec:1.3.99.5	Cupriavidus
reh:H16_B2226	ec:7.6.2.14	Cupriavidus
reh:H16_A3308	ec:7.4.2.1	Cupriavidus
reh:H16_A0362	ec:5.2.1.4	Cupriavidus
reh:H16_A0143	ec:3.7.1.2	Cupriavidus
reh:H16_A1847	ec:5.4.2.8	Cupriavidus
reh:H16_A1847	ec:5.4.2.2	Cupriavidus
reh:H16_B0542	ec:1.14.13.244	Cupriavidus
reh:H16_B0542	ec:1.14.13.243	Cupriavidus
reh:H16_B0540	ec:1.14.13.244	Cupriavidus
reh:H16_B0540	ec:1.14.13.243	Cupriavidus
reh:H16_B0541	ec:1.14.13.244	Cupriavidus
reh:H16_B0541	ec:1.14.13.243	Cupriavidus
reh:H16_B0544	ec:1.14.13.244	Cupriavidus
reh:H16_B0544	ec:1.14.13.243	Cupriavidus
reh:H16_B0543	ec:1.14.13.244	Cupriavidus
reh:H16_B0543	ec:1.14.13.243	Cupriavidus
reh:H16_B0874	ec:3.7.1.20	Cupriavidus
reh:H16_A0361	ec:3.7.1.20	Cupriavidus
reh:H16_B2031	ec:4.2.1.70	Cupriavidus
reh:H16_B1749	ec:5.1.99.4	Cupriavidus
reh:PHG394	ec:5.5.1.1	Cupriavidus
reh:H16_B0801	ec:1.14.12.1	Cupriavidus
reh:H16_A0534	ec:5.1.99.4	Cupriavidus
reh:H16_A1700	ec:6.2.1.31	Cupriavidus
reh:H16_A2966	ec:3.1.3.73	Cupriavidus
reh:H16_A1701	ec:1.3.99.8	Cupriavidus
reh:H16_A1923	ec:3.5.4.33	Cupriavidus
reh:H16_A1259	ec:4.2.1.7	Cupriavidus
reh:H16_B2482	ec:5.1.99.3	Cupriavidus
reh:H16_A1005	ec:4.1.1.97	Cupriavidus
reh:H16_A0045	ec:7.4.2.1	Cupriavidus
reh:H16_B1122	ec:2.7.8.8	Cupriavidus
reh:H16_A3119	ec:2.7.13.3	Cupriavidus
reh:PHG270	ec:1.7.5.1	Cupriavidus
reh:H16_A3566	ec:2.8.5.2	Cupriavidus
reh:H16_A3563	ec:3.1.6.20	Cupriavidus
reh:H16_A3565	ec:2.8.5.2	Cupriavidus
reh:H16_A1039	ec:2.7.8.8	Cupriavidus
reh:H16_B1000	ec:1.8.3.4	Cupriavidus
reh:H16_A1494	ec:2.6.1.57	Cupriavidus
reh:H16_A3668	ec:7.2.2.8	Cupriavidus
reh:H16_A1976	ec:7.2.2.8	Cupriavidus
reh:H16_A2173	ec:7.2.2.8	Cupriavidus
reh:H16_B0428	ec:3.7.1.20	Cupriavidus
reh:H16_B1912	ec:1.14.13.208	Cupriavidus
reh:H16_B1130	ec:1.4.99.6	Cupriavidus
reh:H16_A1401	ec:1.3.5.2	Cupriavidus
reh:H16_A1884	ec:1.1.9.1	Cupriavidus
reh:H16_B1495	ec:3.5.2.6	Cupriavidus
reh:PHG091	ec:1.12.1.2	Cupriavidus
reh:H16_A0925	ec:1.13.11.9	Cupriavidus
reh:H16_B0813	ec:1.13.11.9	Cupriavidus
reh:H16_A0926	ec:3.5.1.107	Cupriavidus
reh:PHG088	ec:1.12.1.2	Cupriavidus
reh:H16_B1390	ec:3.1.3.11	Cupriavidus
reh:H16_B1390	ec:3.1.3.37	Cupriavidus
reh:H16_A0069	ec:5.2.1.1	Cupriavidus
reh:H16_A0921	ec:1.17.2.1	Cupriavidus
reh:H16_B1997	ec:3.5.1.9	Cupriavidus
reh:H16_B0620	ec:4.3.1.17	Cupriavidus
reh:H16_B0620	ec:4.3.1.19	Cupriavidus
reh:H16_B0554	ec:4.3.1.16	Cupriavidus
reh:PHG090	ec:1.12.1.2	Cupriavidus
reh:PHG089	ec:1.12.1.2	Cupriavidus
reh:H16_A0438	ec:1.2.5.3	Cupriavidus
reh:H16_A0920	ec:1.17.2.1	Cupriavidus
reh:H16_A3571	ec:1.8.2.6	Cupriavidus
reh:H16_A1632	ec:1.14.13.172	Cupriavidus
reh:H16_A1633	ec:1.14.13.172	Cupriavidus
reh:H16_A1358	ec:2.8.3.18	Cupriavidus
reh:H16_B2206	ec:2.5.1.103	Cupriavidus
reh:H16_B0876	ec:1.14.13.24	Cupriavidus
reh:H16_A0138	ec:2.7.7.70	Cupriavidus
reh:H16_A0803	ec:2.7.1.167	Cupriavidus
reh:H16_B0548	ec:4.2.1.80	Cupriavidus
reh:H16_B0548	ec:4.2.1.132	Cupriavidus
reh:H16_B0596	ec:1.2.1.10	Cupriavidus
reh:H16_B0596	ec:1.2.1.87	Cupriavidus
reh:H16_B0814	ec:3.5.1.107	Cupriavidus
reh:H16_B0595	ec:4.1.3.39	Cupriavidus
reh:H16_B0595	ec:4.1.3.43	Cupriavidus
reh:H16_A1114	ec:1.2.1.28	Cupriavidus
reh:H16_B2221	ec:1.8.2.6	Cupriavidus
reh:H16_B0087	ec:1.3.8.7	Cupriavidus
reh:H16_A1934	ec:1.1.1.380	Cupriavidus
reh:H16_B0644	ec:6.2.1.41	Cupriavidus
reh:H16_A0188	ec:3.1.2.29	Cupriavidus
reh:H16_B0974	ec:2.8.3.19	Cupriavidus
reh:H16_B1965	ec:2.4.1.129	Cupriavidus
reh:H16_B1965	ec:3.4.16.4	Cupriavidus
reh:H16_A1207	ec:1.14.11.47	Cupriavidus
reh:H16_B2352	ec:6.5.1.1	Cupriavidus
reh:H16_A2364	ec:1.17.7.1	Cupriavidus
reh:H16_A2364	ec:1.17.7.3	Cupriavidus
reh:H16_A0315	ec:2.6.1.16	Cupriavidus
reh:H16_A0595	ec:1.17.99.6	Cupriavidus
reh:H16_A2391	ec:3.6.4.12	Cupriavidus
reh:H16_A2392	ec:3.6.4.12	Cupriavidus
reh:H16_A0950	ec:3.1.3.16	Cupriavidus
reh:H16_A2613	ec:2.1.1.72	Cupriavidus
reh:H16_A0997	ec:2.7.4.34	Cupriavidus
reh:H16_A2969	ec:2.5.1.17	Cupriavidus
reh:H16_A2560	ec:3.4.21.107	Cupriavidus
reh:H16_B0159	ec:3.4.21.107	Cupriavidus
reh:H16_B1701	ec:1.17.1.9	Cupriavidus
reh:H16_B0594	ec:3.1.3.5	Cupriavidus
reh:PHG022	ec:2.7.13.3	Cupriavidus
reh:H16_A0252	ec:2.5.1.18	Cupriavidus
reh:H16_A1562	ec:1.1.1.411	Cupriavidus
reh:H16_B0836	ec:3.11.1.2	Cupriavidus
reh:H16_A0507	ec:2.7.7.99	Cupriavidus
reh:H16_B1948	ec:3.11.1.2	Cupriavidus
reh:H16_A2861	ec:2.5.1.18	Cupriavidus
reh:H16_A2473	ec:1.1.1.100	Cupriavidus
reh:H16_B1378	ec:1.3.99.16	Cupriavidus
reh:H16_A2546	ec:2.7.8.41	Cupriavidus
reh:H16_B0800	ec:1.14.12.1	Cupriavidus
reh:H16_B1473	ec:3.5.1.32	Cupriavidus
reh:H16_B0605	ec:3.5.1.32	Cupriavidus
reh:H16_B0739	ec:1.1.1.404	Cupriavidus
reh:PHG240	ec:1.1.98.6	Cupriavidus
reh:H16_A0692	ec:2.7.13.3	Cupriavidus
reh:H16_A1519	ec:6.2.1.44	Cupriavidus
reh:H16_A0884	ec:2.7.11.1	Cupriavidus
reh:H16_A1907	ec:4.2.1.117	Cupriavidus
reh:PHG362	ec:7.4.2.8	Cupriavidus
