KEGGgene	EC	Organism
reh:H16_A3433	ec:3.1.5.1	Cupriavidus
reh:H16_A3434	ec:4.2.3.4	Cupriavidus
reh:H16_A3435	ec:2.7.1.71	Cupriavidus
reh:H16_A3443	ec:4.1.1.20	Cupriavidus
reh:H16_A3709	ec:2.7.13.3	Cupriavidus
reh:H16_A3725	ec:2.7.13.3	Cupriavidus
reh:H16_B0103	ec:4.2.1.2	Cupriavidus
reh:H16_A1216	ec:2.3.1.30	Cupriavidus
reh:H16_A1225	ec:2.7.2.4	Cupriavidus
reh:H16_A1229	ec:2.3.3.1	Cupriavidus
reh:H16_A1235	ec:4.1.3.4	Cupriavidus
reh:H16_A1239	ec:1.1.1.31	Cupriavidus
reh:H16_A1244	ec:7.4.2.2	Cupriavidus
reh:H16_A1245	ec:7.4.2.2	Cupriavidus
reh:H16_A1262	ec:1.6.5.5	Cupriavidus
reh:H16_A1287	ec:1.1.1.100	Cupriavidus
reh:H16_A1290	ec:2.3.1.16	Cupriavidus
reh:H16_A1297	ec:2.3.1.9	Cupriavidus
reh:H16_A1306	ec:3.5.1.68	Cupriavidus
reh:H16_A1313	ec:2.5.1.49	Cupriavidus
reh:H16_A1317	ec:4.2.3.5	Cupriavidus
reh:H16_A1322	ec:3.1.1.3	Cupriavidus
reh:H16_A1324	ec:1.5.5.1	Cupriavidus
reh:H16_A1334	ec:1.1.1.30	Cupriavidus
reh:H16_A1339	ec:6.1.1.3	Cupriavidus
reh:H16_A1368	ec:3.1.11.2	Cupriavidus
reh:H16_A0793	ec:2.6.1.9	Cupriavidus
reh:H16_A1369	ec:3.4.24.70	Cupriavidus
reh:H16_A1375	ec:2.3.1.12	Cupriavidus
reh:H16_A1377	ec:1.8.1.4	Cupriavidus
reh:H16_A0795	ec:2.5.1.19	Cupriavidus
reh:H16_A0797	ec:2.7.4.25	Cupriavidus
reh:H16_A0817	ec:1.4.5.1	Cupriavidus
reh:H16_A0827	ec:4.6.1.1	Cupriavidus
reh:H16_A0831	ec:1.4.3.4	Cupriavidus
reh:H16_A1438	ec:2.3.1.9	Cupriavidus
reh:H16_A1439	ec:1.1.1.36	Cupriavidus
reh:H16_A1445	ec:2.3.1.9	Cupriavidus
reh:H16_A1447	ec:4.4.1.13	Cupriavidus
reh:H16_A1452	ec:3.1.3.3	Cupriavidus
reh:H16_A1882	ec:6.3.5.6	Cupriavidus
reh:H16_A1882	ec:6.3.5.7	Cupriavidus
reh:H16_A1454	ec:3.5.1.16	Cupriavidus
reh:H16_A1456	ec:2.7.7.60	Cupriavidus
reh:H16_A1892	ec:6.3.1.21	Cupriavidus
reh:H16_A1483	ec:3.4.21.92	Cupriavidus
reh:H16_A1485	ec:3.4.21.53	Cupriavidus
reh:H16_A1502	ec:5.3.1.9	Cupriavidus
reh:H16_A1505	ec:1.4.5.1	Cupriavidus
reh:H16_A1937	ec:1.1.1.57	Cupriavidus
reh:H16_A1511	ec:6.3.5.3	Cupriavidus
reh:H16_A1528	ec:2.3.1.9	Cupriavidus
reh:H16_A1535	ec:2.5.1.18	Cupriavidus
reh:H16_A1542	ec:7.4.2.2	Cupriavidus
reh:H16_A1547	ec:4.1.3.4	Cupriavidus
reh:H16_A1553	ec:1.1.1.61	Cupriavidus
reh:H16_A2097	ec:3.4.11.19	Cupriavidus
reh:H16_A2113	ec:5.1.1.1	Cupriavidus
reh:H16_A2145	ec:5.1.99.4	Cupriavidus
reh:H16_A2148	ec:2.3.1.9	Cupriavidus
reh:H16_A2150	ec:6.2.1.3	Cupriavidus
reh:H16_A2171	ec:1.1.1.36	Cupriavidus
reh:H16_A2179	ec:4.4.1.5	Cupriavidus
reh:H16_A2182	ec:3.1.3.1	Cupriavidus
reh:H16_A2204	ec:2.5.1.16	Cupriavidus
reh:H16_A2023	ec:7.2.2.10	Cupriavidus
reh:H16_A2211	ec:4.1.3.1	Cupriavidus
reh:H16_A2217	ec:2.3.3.9	Cupriavidus
reh:H16_A2028	ec:6.3.5.2	Cupriavidus
reh:H16_A2030	ec:1.1.1.205	Cupriavidus
reh:H16_A2227	ec:4.1.3.1	Cupriavidus
reh:H16_A2244	ec:1.14.14.5	Cupriavidus
reh:H16_A2251	ec:3.1.1.22	Cupriavidus
